ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics,Domains,bayesaverage
19246,Catherine the Great,2005,1,3,0,14,62,6.34,12549,2.78,294,"Area Movement, Campaign / Battle Card Driven, Solo / Solitaire Game",Wargames,5.51797
208073,XYbrid,2017,2,4,45,13,48,6.7,12550,1.25,148,"Card Drafting, Simultaneous Action Selection, Take That",Unknown,5.51967
35635,Get to the Chopper!!!,2006,2,5,30,0,49,6.61,12551,1.22,78,"Cooperative Game, Dice Rolling, Hexagon Grid, Team-Based Game, Variable Player Powers",Unknown,5.5211
20036,Spinnentwist,2005,2,2,30,10,46,6.45,12552,2.2,101,Point to Point Movement,Unknown,5.51909
31412,Dungeon Plungin',2007,1,4,60,0,48,7.02,12553,2.14,142,"Cooperative Game, Dice Rolling, Modular Board",Thematic Games,5.5182
9084,Grunwald 1410,1992,2,2,300,12,121,6.01,12554,3.32,153,"Dice Rolling, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Simulation",Wargames,5.52349
13771,Hellfire Pass,1985,2,2,180,12,55,6.45,12555,2.6,289,Hexagon Grid,Wargames,5.52409
85124,The Battle of Stalingrad,2012,2,2,0,0,31,7.12,12556,2.0,176,"Dice Rolling, Hexagon Grid, Simulation",Wargames,5.52436
258783,Into the Black Forest,2019,2,4,45,8,56,6.67,12557,2.0,225,"Area Majority / Influence, Hand Management",Unknown,5.51099
47414,City of Guilds,2009,1,4,30,8,46,6.59,12558,1.91,89,"Area Majority / Influence, Hand Management, Variable Player Powers",Unknown,5.51851
5723,Shattered States,1990,2,6,120,0,47,6.56,12559,2.29,117,Area Movement,Wargames,5.5193
1816,Mississippi,1987,2,6,45,10,155,5.85,12560,2.11,351,Dice Rolling,Abstract Games,5.5291
260322,Potions Class,2018,2,2,15,6,60,6.31,12561,1.0,228,"Hand Management, Push Your Luck, Set Collection",Unknown,5.53089
174975,"Take The ""A"" Chord",2015,3,4,30,10,81,6.14,12562,2.0,210,Trick-taking,Unknown,5.57677
165471,Col-Or-Form,2014,2,4,20,10,47,6.4,12563,1.0,101,"Pattern Building, Pattern Recognition",Unknown,5.52213
8902,Das Quiz des 20. Jahrhunderts,1998,2,6,90,12,38,6.72,12564,1.5,67,Dice Rolling,Unknown,5.52171
37392,Fleets 2025: East China Sea,2008,2,2,60,12,40,6.77,12565,1.89,144,"Campaign / Battle Card Driven, Hexagon Grid, Movement Points",Wargames,5.52371
302281,Candy Lab,2020,2,4,15,8,44,6.73,12566,1.67,87,Unknown,Unknown,5.6279
113700,Dash! A whimsical race through Singapore,2012,3,5,60,8,54,6.35,12567,2.5,92,"Card Drafting, Hand Management, Ladder Climbing, Trick-taking, Variable Player Powers",Unknown,5.51941
254695,Inoka,2018,2,4,20,6,127,6.03,12568,1.14,425,"Rock-Paper-Scissors, Simultaneous Action Selection",Unknown,5.49848
3838,Firestorm,2001,2,6,60,12,57,6.31,12569,3.38,229,Unknown,Customizable Games,5.5237
209538,Alexandria,2017,2,4,45,14,259,5.71,12570,2.4,694,"Action Points, Hand Management, Modular Board, Time Track, Variable Player Powers",Unknown,5.51131
103236,Fusion,2011,2,4,10,6,102,6.01,12571,1.0,206,Pattern Recognition,Unknown,5.51603
57310,Hau La,2009,2,4,15,8,72,6.11,12572,1.0,76,Pattern Building,Unknown,5.52045
302914,Dream Cruise,2021,1,4,45,8,34,7.02,12573,2.0,79,"Card Drafting, Hand Management, Modular Board",Unknown,5.57352
2826,Jackpot Yahtzee,1980,2,4,60,8,90,6.0,12574,1.14,228,"Dice Rolling, Tile Placement",Unknown,5.52175
249650,Korea: Fire and Ice,2018,1,4,600,12,33,7.06,12575,2.86,166,"Chit-Pull System, Dice Rolling, Grid Movement, Hexagon Grid, Movement Points, Ratio / Combat Results Table, Scenario / Mission / Campaign Game, Simulation, Zone of Control",Wargames,5.53091
138616,Shift: The Single Card CCG,2013,2,2,25,13,135,6.27,12576,1.86,408,Unknown,"Customizable Games, Strategy Games",5.51989
251399,Doxie Dash,2018,2,6,30,6,52,6.6,12577,1.33,105,"Card Drafting, Push Your Luck, Set Collection, Simultaneous Action Selection, Variable Player Powers",Unknown,5.52484
284107,Zodiac Clash,2019,2,4,30,8,58,6.43,12578,1.0,201,"Area Majority / Influence, Variable Player Powers",Unknown,5.51951
13979,The Big Push: The Battle of the Somme,2005,2,3,180,12,52,6.43,12579,3.0,364,"Dice Rolling, Simulation",Wargames,5.52356
